series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Female,54.578,55.218,55.679,56.046,56.363,56.596,56.924,57.200,57.483,57.774,58.078,58.425,58.730,59.047,59.443,59.893,60.406,61.016,61.565,62.120,62.730,63.257,63.826,64.356,64.924,65.466,65.887,66.210,66.626,66.832,66.891,66.966,66.807,66.504,65.986,65.158,64.462,63.657,62.897,62.047,61.082,59.491,57.703,56.266,55.754,55.465,55.926,56.887,58.146,59.690,61.237,63.139,64.427,65.244,66.184,67.027,67.916,68.580,68.906,69.216,67.948,64.772,69.037,69.599,69.792
Male,50.823,51.188,51.707,51.994,52.306,52.490,52.764,52.934,53.120,53.322,53.498,53.818,54.218,54.584,54.969,55.475,55.794,56.160,56.638,57.060,57.451,57.891,58.308,58.694,59.030,59.233,59.306,59.542,59.596,59.645,59.477,59.495,59.365,59.111,58.799,58.282,57.778,57.218,56.715,56.110,55.415,54.583,53.215,51.993,51.915,52.088,52.233,52.715,53.511,54.816,56.197,57.735,58.714,59.233,59.910,60.802,61.332,61.980,62.296,62.696,62.174,59.193,61.813,62.609,62.783
Total,52.575,53.067,53.566,53.895,54.215,54.427,54.731,54.955,55.191,55.440,55.681,56.020,56.377,56.720,57.110,57.591,58.000,58.480,58.991,59.472,59.961,60.445,60.936,61.393,61.837,62.195,62.421,62.694,62.902,63.017,62.942,62.983,62.839,62.618,62.069,61.603,61.079,60.538,59.912,59.190,58.368,57.161,55.580,54.245,53.963,53.914,54.220,54.948,55.982,57.413,58.886,60.602,61.737,62.388,63.184,64.053,64.749,65.422,65.726,66.071,65.150,62.010,65.454,66.139,66.312
