population_group,year,population_share_percent,source_name,source_url,data_status,limitations
Black African,2022,81.4,Statistics South Africa Census population group table,local cleaned from data/archive/population_group_census_1996_2022.csv,real cleaned,"Population group categories are official statistical categories and should not be treated as biological groups."
Coloured,2022,8.2,Statistics South Africa Census population group table,local cleaned from data/archive/population_group_census_1996_2022.csv,real cleaned,"Population group categories are official statistical categories and should not be treated as biological groups."
Indian/Asian,2022,2.7,Statistics South Africa Census population group table,local cleaned from data/archive/population_group_census_1996_2022.csv,real cleaned,"Population group categories are official statistical categories and should not be treated as biological groups."
White,2022,7.3,Statistics South Africa Census population group table,local cleaned from data/archive/population_group_census_1996_2022.csv,real cleaned,"Population group categories are official statistical categories and should not be treated as biological groups."
Other,2022,0.4,Statistics South Africa Census population group table,local cleaned from data/archive/population_group_census_1996_2022.csv,real cleaned,"Population group categories are official statistical categories and should not be treated as biological groups."
