population_group,year,land_type,hectares,share_percent,source_name,source_url,data_status,limitations
African,2017,Individually owned farms and agricultural holdings,1314873,4,Department of Rural Development and Land Reform Land Audit Report 2017,https://www.gov.za/sites/default/files/gcis_document/201802/landauditreport13feb2018.pdf,real cleaned,"This measures farms and agricultural holdings owned by individual landowners. It is not a full measure of all land, all property, or all household wealth."
Coloured,2017,Individually owned farms and agricultural holdings,5371383,15,Department of Rural Development and Land Reform Land Audit Report 2017,https://www.gov.za/sites/default/files/gcis_document/201802/landauditreport13feb2018.pdf,real cleaned,"This measures farms and agricultural holdings owned by individual landowners. It is not a full measure of all land, all property, or all household wealth."
Indian,2017,Individually owned farms and agricultural holdings,2031790,5,Department of Rural Development and Land Reform Land Audit Report 2017,https://www.gov.za/sites/default/files/gcis_document/201802/landauditreport13feb2018.pdf,real cleaned,"This measures farms and agricultural holdings owned by individual landowners. It is not a full measure of all land, all property, or all household wealth."
White,2017,Individually owned farms and agricultural holdings,26663144,72,Department of Rural Development and Land Reform Land Audit Report 2017,https://www.gov.za/sites/default/files/gcis_document/201802/landauditreport13feb2018.pdf,real cleaned,"This measures farms and agricultural holdings owned by individual landowners. It is not a full measure of all land, all property, or all household wealth."
Other,2017,Individually owned farms and agricultural holdings,1271562,3,Department of Rural Development and Land Reform Land Audit Report 2017,https://www.gov.za/sites/default/files/gcis_document/201802/landauditreport13feb2018.pdf,real cleaned,"This measures farms and agricultural holdings owned by individual landowners. It is not a full measure of all land, all property, or all household wealth."
Co-owners,2017,Individually owned farms and agricultural holdings,425537,1,Department of Rural Development and Land Reform Land Audit Report 2017,https://www.gov.za/sites/default/files/gcis_document/201802/landauditreport13feb2018.pdf,real cleaned,"This measures farms and agricultural holdings owned by individual landowners. It is not a full measure of all land, all property, or all household wealth."
