year,top_10_income_share_percent,source_name,source_url,data_status,limitation
1993,46.35,WID.world via Our World in Data,https://ourworldindata.org/grapher/income-share-top-10-before-tax-wid,real cleaned,"Income is measured before taxes and most benefits; WID estimates combine surveys tax records and national accounts, with uncertainty where source data is limited."
2000,53.58,WID.world via Our World in Data,https://ourworldindata.org/grapher/income-share-top-10-before-tax-wid,real cleaned,"Income is measured before taxes and most benefits; WID estimates combine surveys tax records and national accounts, with uncertainty where source data is limited."
2005,59.06,WID.world via Our World in Data,https://ourworldindata.org/grapher/income-share-top-10-before-tax-wid,real cleaned,"Income is measured before taxes and most benefits; WID estimates combine surveys tax records and national accounts, with uncertainty where source data is limited."
2008,60.06,WID.world via Our World in Data,https://ourworldindata.org/grapher/income-share-top-10-before-tax-wid,real cleaned,"Income is measured before taxes and most benefits; WID estimates combine surveys tax records and national accounts, with uncertainty where source data is limited."
2010,61.43,WID.world via Our World in Data,https://ourworldindata.org/grapher/income-share-top-10-before-tax-wid,real cleaned,"Income is measured before taxes and most benefits; WID estimates combine surveys tax records and national accounts, with uncertainty where source data is limited."
2014,65.41,WID.world via Our World in Data,https://ourworldindata.org/grapher/income-share-top-10-before-tax-wid,real cleaned,"Income is measured before taxes and most benefits; WID estimates combine surveys tax records and national accounts, with uncertainty where source data is limited."
