population_group,year,total_households_thousand,owned_total_thousand,owned_percent,rented_total_thousand,rented_percent,occupied_rent_free_thousand,occupied_rent_free_percent,other_or_unknown_thousand,other_or_unknown_percent,source_name,source_url,data_status,limitations
Black African,2024,16267,9453,58.11,4075,25.05,2636,16.20,103,0.63,Statistics South Africa General Household Survey 2024 Table 8.6,https://www.statssa.gov.za/publications/P0318/P03182024.pdf,real cleaned calculated,"The table is by population group of household head and measures dwelling tenure, not total wealth or the absolute number of homes owned by individuals."
Coloured,2024,1296,848,65.43,258,19.91,187,14.43,3,0.23,Statistics South Africa General Household Survey 2024 Table 8.6,https://www.statssa.gov.za/publications/P0318/P03182024.pdf,real cleaned calculated,"The table is by population group of household head and measures dwelling tenure, not total wealth or the absolute number of homes owned by individuals."
Indian/Asian,2024,451,300,66.52,125,27.72,20,4.43,6,1.33,Statistics South Africa General Household Survey 2024 Table 8.6,https://www.statssa.gov.za/publications/P0318/P03182024.pdf,real cleaned calculated,"The table is by population group of household head and measures dwelling tenure, not total wealth or the absolute number of homes owned by individuals."
White,2024,1536,1067,69.47,418,27.21,39,2.54,12,0.78,Statistics South Africa General Household Survey 2024 Table 8.6,https://www.statssa.gov.za/publications/P0318/P03182024.pdf,real cleaned calculated,"The table is by population group of household head and measures dwelling tenure, not total wealth or the absolute number of homes owned by individuals."
