year,top_10_wealth_share_percent,source_name,source_url,data_status,limitation
1993,85.89,WID.world via Our World in Data,https://ourworldindata.org/grapher/wealth-share-richest-10-percent,real cleaned,"Wealth estimates use WID methods and may include modeled or extrapolated values where direct wealth data is limited."
2000,83.65,WID.world via Our World in Data,https://ourworldindata.org/grapher/wealth-share-richest-10-percent,real cleaned,"Wealth estimates use WID methods and may include modeled or extrapolated values where direct wealth data is limited."
2005,83.12,WID.world via Our World in Data,https://ourworldindata.org/grapher/wealth-share-richest-10-percent,real cleaned,"Wealth estimates use WID methods and may include modeled or extrapolated values where direct wealth data is limited."
2010,90.17,WID.world via Our World in Data,https://ourworldindata.org/grapher/wealth-share-richest-10-percent,real cleaned,"Wealth estimates use WID methods and may include modeled or extrapolated values where direct wealth data is limited."
2014,86.90,WID.world via Our World in Data,https://ourworldindata.org/grapher/wealth-share-richest-10-percent,real cleaned,"Wealth estimates use WID methods and may include modeled or extrapolated values where direct wealth data is limited."
2018,85.55,WID.world via Our World in Data,https://ourworldindata.org/grapher/wealth-share-richest-10-percent,real cleaned,"Wealth estimates use WID methods and may include modeled or extrapolated values where direct wealth data is limited."
2024,85.67,WID.world via Our World in Data,https://ourworldindata.org/grapher/wealth-share-richest-10-percent,real cleaned,"Wealth estimates use WID methods and may include modeled or extrapolated values where direct wealth data is limited."
