year,gini_coefficient,source_name,source_url,data_status,limitation
1993,0.5933393836,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/economic-inequality-gini-index,real cleaned,"Survey-based inequality estimates may not be fully comparable across years because methods and source surveys can differ."
2000,0.5776966214,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/economic-inequality-gini-index,real cleaned,"Survey-based inequality estimates may not be fully comparable across years because methods and source surveys can differ."
2005,0.6500103474,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/economic-inequality-gini-index,real cleaned,"Survey-based inequality estimates may not be fully comparable across years because methods and source surveys can differ."
2008,0.6251803041,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/economic-inequality-gini-index,real cleaned,"Survey-based inequality estimates may not be fully comparable across years because methods and source surveys can differ."
2010,0.6087313890,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/economic-inequality-gini-index,real cleaned,"Survey-based inequality estimates may not be fully comparable across years because methods and source surveys can differ."
2014,0.5963907838,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/economic-inequality-gini-index,real cleaned,"Survey-based inequality estimates may not be fully comparable across years because methods and source surveys can differ."
2022,0.5405394435,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/economic-inequality-gini-index,real cleaned,"Survey-based inequality estimates may not be fully comparable across years because methods and source surveys can differ."
